index Betriebname Milchmenge Fett.B Laktationstag BetriebDatum
95 Melkof -0.57402885550458 -1.41172663972478 31 Melkof2009-05-25
96 Wendhof -0.875258932189951 0.574371263563908 105 Wendhof2009-05-11
97 Melkof -1.20387356130127 0.231940590583101 28 Melkof2009-05-25
98 Melkof 0.932121527922277 1.32771874412168 28 Melkof2009-05-25
99 Kastanienhof -1.87479509573687 -0.470042289027555 73 Kastanienh2009-05-18
100 Luebesse -0.231721950180294 3.69049038768926 44 Luebesse2009-05-07
101 Luebesse -1.72418005739418 0.00936065314557523 120 Luebesse2009-07-02
102 Luebesse 0.343353650764505 2.97138597442956 47 Luebesse2009-05-07
103 Melkof -2.40879386804275 1.53317714791017 115 Melkof2009-05-25
104 Melkof -0.218029673967323 1.39620487871785 95 Melkof2009-05-25
105 Melkof 0.904736975496334 0.334669792477343 57 Melkof2009-05-25
106 Wendhof -0.176952845328409 -0.144733149695788 60 Wendhof2009-05-11
107 Luebesse -0.587721131717552 -0.144733149695788 113 Luebesse2009-05-07
108 Luebesse -0.450798369587837 -0.863837562955484 112 Luebesse2009-05-07
109 Melkof 0.110584955143991 1.05377420573704 85 Melkof2009-05-25
110 Melkof 1.42504347158925 0.146332922337898 41 Melkof2009-05-25
111 Wendhof -1.73787233360715 0.249062124232141 78 Wendhof2009-05-11
112 Luebesse 0.370738203190448 1.32771874412168 82 Luebesse2009-05-07
113 Luebesse -0.176952845328409 1.43044794601593 116 Luebesse2009-05-07
114 Wendhof -0.587721131717552 0.916801936544716 47 Wendhof2009-05-11
115 Luebesse -1.62833412390338 1.036652672088 85 Luebesse2009-05-07
116 Luebesse -0.300183331245152 1.2934756768236 48 Luebesse2009-05-07
117 Luebesse -0.149568292902466 2.32076769576603 107 Luebesse2009-05-07
118 Luebesse -0.587721131717552 -2.74720626434992 74 Luebesse2009-05-07
119 Luebesse -1.12171990402344 -2.4390186586672 66 Luebesse2009-05-07
120 Melkof -0.176952845328409 -1.03505289944589 104 Melkof2009-05-25
121 Wendhof -0.409721540948923 1.43044794601593 106 Wendhof2009-05-11
122 Luebesse 0.151661783782905 -1.01793136579685 63 Luebesse2009-05-07
123 Luessow 0.507660965320162 0.454520528020625 39 Luessow2009-06-01
124 Luebesse -0.0400300831986945 1.43044794601593 76 Luebesse2009-05-07
125 Luebesse -0.0400300831986945 0.334669792477343 115 Luebesse2009-05-07
126 Melkof 0.808891042005534 0.043603720443656 29 Melkof2009-05-25
127 Kastanienhof -2.01171785786658 0.985288071140877 56 Kastanienh2009-05-18
128 Wendhof -0.135876016689494 -0.0248824141525055 81 Wendhof2009-05-11
129 Wendhof -1.72418005739418 1.46469101331401 56 Wendhof2009-05-11
130 Wendhof -0.546644303078637 1.08801727303512 89 Wendhof2009-05-11
131 Melkof -1.25864266615315 0.437398994371585 99 Melkof2009-05-25
132 Luebesse 0.00104674544021977 -0.829594495657403 112 Luebesse2009-05-07
133 Luebesse -0.19064512154138 -0.418677688080434 66 Luebesse2009-05-07
134 Melkof -0.108491464263552 -1.36036203877765 67 Melkof2009-05-25
135 Luebesse -0.0537223594116659 1.58454174885729 75 Luebesse2009-05-07
136 Melkof -0.327567883671094 -0.0933685487486663 82 Melkof2009-05-25
137 Wendhof -2.43617842046869 1.89272935454002 22 Wendhof2009-05-11
138 Luebesse 0.699352832301762 -1.10353903404205 104 Luebesse2009-05-07
139 Melkof -1.27233494236612 0.00936065314557523 86 Melkof2009-05-25
140 Luebesse -0.642490236569437 1.46469101331401 91 Luebesse2009-05-07
141 Luebesse -0.628797960356466 1.60166328250633 70 Luebesse2009-05-07
142 Luebesse -0.491875198226752 -0.812472962008363 27 Luebesse2009-05-07
143 Melkof -1.03956624674561 -0.0591254814505863 43 Melkof2009-05-25
144 Luebesse -0.272798778819209 -0.384434620782353 85 Luebesse2009-07-02
145 Melkof -0.930028037041837 0.386034393424463 43 Melkof2009-05-25
146 Luebesse 0.493968689107191 -0.70974376011412 52 Luebesse2009-05-07
147 Luebesse -0.396029264735952 1.9269724218381 59 Luebesse2009-05-07
148 Luebesse 0.0558158502921055 -0.624136091868918 112 Luebesse2009-05-07
149 Melkof -0.642490236569437 0.523006662616786 77 Melkof2009-05-25
150 Luebesse -0.122183740476523 1.49893408061209 23 Luebesse2009-05-07
151 Luebesse -0.656182512782409 1.036652672088 48 Luebesse2009-05-07
152 Kastanienhof -1.43664225692178 -0.24746235159003 46 Kastanienh2009-05-18
153 Luebesse -1.40925770449584 0.951045003842796 30 Luebesse2009-05-07
154 Luebesse 0.0421235740791341 0.899680402895676 63 Luebesse2009-05-07
155 Luebesse 0.329661374551534 0.471642061669666 114 Luebesse2009-05-07
156 Luebesse -0.998489418106694 0.249062124232141 29 Luebesse2009-05-07
157 Wendhof -0.971104865680751 0.283305191530221 85 Wendhof2009-05-11
158 Wendhof -1.43664225692178 -0.144733149695788 63 Wendhof2009-05-11
159 Melkof -0.0674146356246374 1.00240960478992 99 Melkof2009-05-25
160 Wendhof -0.779412998699151 0.488763595318706 115 Wendhof2009-05-11
161 Wendhof -0.76572072248618 1.2934756768236 64 Wendhof2009-05-11
162 Luebesse -0.245414226393266 0.968166537491837 79 Luebesse2009-05-07
163 Luebesse 0.124277231356963 0.642857398160069 104 Luebesse2009-05-07
164 Melkof 0.493968689107191 -1.41172663972478 43 Melkof2009-05-25
165 Wendhof -0.86156665597698 0.488763595318706 110 Wendhof2009-05-11
166 Melkof -0.738336170060237 -1.20626823593629 50 Melkof2009-05-25
167 Luebesse -0.272798778819209 0.916801936544716 116 Luebesse2009-05-07
168 Melkof -0.204337397754352 4.83763314217496 28 Melkof2009-05-25
169 Luebesse 0.19273861242182 0.608614330861989 96 Luebesse2009-05-07
170 Luebesse 0.38443047940342 1.1222603403332 79 Luebesse2009-05-07
171 Kastanienhof -2.20340972484818 0.386034393424463 28 Kastanienh2009-05-18
172 Wendhof -1.09433535159749 -0.67550069281604 116 Wendhof2009-05-11
173 Luebesse -0.231721950180294 0.334669792477343 27 Luebesse2009-05-07
174 Luebesse -0.820489827338066 -0.795351428359322 71 Luebesse2009-05-07
175 Wendhof 0.398122755616391 -0.281705418888111 72 Wendhof2009-05-11
176 Kastanienhof -2.01171785786658 -0.435799221729474 23 Kastanienh2009-05-18
177 Melkof -0.163260569115437 1.51605561426113 91 Melkof2009-05-25
178 Luebesse -0.916335760828866 1.00240960478992 60 Luebesse2009-05-07
179 Melkof -1.19018128508829 0.129211388688858 22 Melkof2009-05-25
180 Melkof -1.21756583751424 -0.110490082397707 41 Melkof2009-05-25
181 Wendhof -0.57402885550458 -1.00080983214781 71 Wendhof2009-05-11
182 Barth 0.973198356561191 0.249062124232141 35 Barth2009-07-06
